"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SPICEPREFIX";"SUPPLIER";"TP_SIGNAL_NAME";
"1";"";"ATMEGA328P-AU";"QFP80P900X900X120-32N";"ATMEGA328P";"8-bit Microcontroller with In-System Programmable Flash";"";"ATMEGA328P-AU";"1715486";"14R4631";"TQFP-32";"";"";"Atmel";"";
"4";"";"LEDCHIP-LED0805";"CHIP-LED0805";"3.3V, 5V, FPGA, MICRO";"LED";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-2X3";"2X03";"ICP";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"2";"";"PINHD-2X5";"2X05";"AS, JTAG";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"10";"0.1u";"C-EUC0805K";"C0805K";"C1, C5, C12, C15, C18, C19, C20, C21, C22, C23";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"4";"100";"R-US_R0805";"R0805";"R4, R6, R8, R9";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"10CL006ZE144";"10CL006ZE144";"EQFP144";"U$6";"Altera Cyclone 10 10CL006ZE144I8G";"";"";"";"";"";"";"";"";"";
"4";"10K";"R-US_R0805";"R0805";"R13, R14, R15, R16";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"10k";"R-US_R0805";"R0805";"R7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"10k";"R-US_R0805";"R0805";"R3";"RESISTOR, American symbol";"";"";"";"";"";"";"R";"";"";
"5";"10u";"C-EUC0805K";"C0805K";"C2, C10, C11, C13, C14";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"120";"R-US_R0805";"R0805";"R1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"121k";"R-US_R0805";"R0805";"R18";"RESISTOR, American symbol";"";"";"";"";"";"";"R";"";"";
"1";"127k";"R-US_R0805";"R0805";"R17";"RESISTOR, American symbol";"";"";"";"";"";"";"R";"";"";
"1";"16MHz";"406CYRYSTAL";"CTS406";"U$4";"Crystal Oscillator in 406 SMT Package";"";"";"";"";"";"";"";"";"";
"3";"1K";"R-US_R0805";"R0805";"R2, R11, R12";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"1u";"C-EUC0805K";"C0805K";"C17";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"20uH";"MSS7348";"MSS7348";"L5";"";"";"";"";"";"";"";"";"";"";
"1";"220uF";"CPOL-USUD-6,3X7,7";"UD-6,3X7,7_NICHICON";"C16";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"C";"";"";
"4";"22p";"C-EUC0805K";"C0805K";"C3, C4, C6, C7";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"25";"R-US_R0805";"R0805";"R19";"RESISTOR, American symbol";"";"";"";"";"";"";"R";"";"";
"2";"330";"R-US_R0805";"R0805";"R5, R20";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"4.7k";"R-US_R0805";"R0805";"R10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"406CYRYSTAL";"406CYRYSTAL";"CTS406";"U$15";"Crystal Oscillator in 406 SMT Package";"";"";"";"";"";"";"";"";"";
"2";"560p";"C-EUC0805K";"C0805K";"C8, C9";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"6.8uH";"INDUCTORNR5040";"INDUCTOR_5X5MM_NR5040_NOTHERMALS";"L1";"Inductors";"";"";"";"";"";"";"";"";"";
"1";"776280-1";"776280-1";"776280-1";"TE_AMPSEAL_8";"AMPSEAL 8pin Connector";"";"";"";"";"";"";"";"";"";
"1";"BAT54WS-7-F";"BAT54WS-7-F";"SOD323";"U$14";"Diodes Incorporated BAT54WS-7-F";"";"";"";"";"";"";"";"";"";
"1";"EPCQ16A";"EPCQ16A";"SOIC127P600X175-8N";"U$7";"Altera Serial Config Flash";"";"";"";"";"";"";"";"";"";
"2";"HEX_CONVERTER";"HEX_CONVERTER";"SO016";"U4, U5";"74HC4050 Hex Buffer Level Shifter SMD SO016";"";"";"";"";"";"IC-09604";"";"";"";
"1";"L7805CDT-TR";"L7805CDT-TR";"DPACK";"U$9";"ST - L78";"";"";"";"";"";"";"";"";"";
"1";"LF33ABDT-TR";"LF33ABDT-TR";"DPACK";"U$8";"ST - LFxx";"";"";"";"";"";"";"";"";"";
"1";"MCP1702T-1202E/CB";"MCP1702T-1802E/CB";"SOT95P300X145-3N";"U$5";"Low Quiescent Current LDO Regulator";"LDO VOLT REG";"MCP1702T-1802E/CB";"1331488";"84R5177";"SOT-3";"";"";"Microchip";"";
"1";"MCP2515";"MCP2515-I/SO";"SOIC127P1034X264-18N";"U$2";"CAN Controller";"";"MCP2515-I/SO";"1292239";"29H7136";"SOIC-18";"";"";"Microchip";"";
"1";"MCP2551";"MCP2551-I/SN";"SOIC127P600X175-8N";"U$3";"High-Speed CAN Transceiver";"";"MCP2551-I/SN";"9758569";"69K7604";"SOIC-8";"";"";"Microchip";"";
"1";"MINI297-3568";"MINI297-3568";"3568";"FUSE";"";"";"";"";"";"";"";"";"";"";
"1";"PESD1CAN";"PESD1CAN";"SOT23";"D1";"CAN bus ESD protection diode";"";"";"";"";"";"";"";"";"";
"1";"SM77H";"SM77H";"SM77H";"U$1";"SM77H Crystal Oscillator";"";"";"";"";"";"";"";"";"";
"1";"SMAZ24-13-F";"SMAZ24-13-F";"SMA_DIODE";"U$13";"Diodes Inc 24V Zener Diode";"";"";"";"";"";"";"";"";"";
"1";"TPS6104X";"TPS6104X";"SOT23-5L";"U$11";"Texas Insturments TPS6104x";"";"";"";"";"";"";"";"";"";
"1";"TPS72101DBVT";"TPS72101DBVT";"SOT23-5L";"U$10";"TPS72101DBVT";"";"";"";"";"";"";"";"";"";
"6";"TPTP12SQ";"TPTP12SQ";"TP12SQ";"1.2T, 2.5T, 3.3T, 5T, DISP_A_T, GND";"Test pad";"";"";"";"";"";"";"";"";"";
"1";"ZIF40_0.5MM_PITCH";"ZIF40_0.5MM_PITCH";"ZIF40";"DISPLAY";"40 Pin 0.5mm ptch FPC Connector";"";"";"";"";"";"";"";"";"";
